NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,62400,62700,62100,62100,100,0.001612903225806539,2696700
13/03/2025,62300,62900,61900,62000,-200,-0.003215434083601254,5100400
12/03/2025,62500,62800,62200,62200,-200,-0.0032051282051281937,2755400
11/03/2025,62300,62500,62100,62400,-100,-0.0016000000000000458,2287600
10/03/2025,63000,63000,62500,62500,-200,-0.0031897926634768536,2529500
07/03/2025,62900,63000,62400,62700,-200,-0.0031796502384737746,2655600
06/03/2025,62700,62900,62200,62900,200,0.0031897926634769647,3125600
05/03/2025,63600,63600,62700,62700,-800,-0.012598425196850394,2275500
04/03/2025,63200,63800,62900,63500,300,0.004746835443038,6042000
03/03/2025,62800,63200,62300,63200,1000,0.016077170418006492,3610600
28/02/2025,62300,63200,62200,62200,0,0,4175600
27/02/2025,63200,63200,62200,62200,-900,-0.014263074484944571,3520600
26/02/2025,63000,63400,62900,63100,200,0.0031796502384737746,3636600
25/02/2025,64000,64000,62600,62900,-900,-0.014106583072100332,3884200
24/02/2025,61600,63900,61600,63800,2400,0.039087947882736174,11512800
21/02/2025,60800,62100,60600,61400,700,0.011532125205930832,4717200
20/02/2025,60900,60900,60600,60700,-100,-0.00164473684210531,2627900
19/02/2025,60300,60900,60300,60800,500,0.008291873963515828,3072700
18/02/2025,60400,60500,60000,60300,300,0.004999999999999893,2436800
17/02/2025,60400,60600,60000,60000,-300,-0.00497512437810943,3612400
14/02/2025,60700,60700,60300,60300,-400,-0.00658978583196046,6401800
13/02/2025,61000,61000,60400,60700,-300,-0.004918032786885296,2576800
12/02/2025,60600,61000,60500,61000,600,0.009933774834437026,2756600
11/02/2025,60600,60700,60100,60400,-200,-0.0033003300330033403,3433800
10/02/2025,61200,61200,60600,60600,-200,-0.003289473684210509,2592100
07/02/2025,60700,61200,60600,60800,100,0.0016474464579900872,2552300
06/02/2025,61500,61600,60500,60700,-800,-0.013008130081300862,3024800
05/02/2025,60400,61500,60400,61500,1300,0.021594684385382035,3198100
04/02/2025,60600,60900,60000,60200,-300,-0.0049586776859503745,7125000
03/02/2025,62200,62200,60500,60500,-1700,-0.02733118971061088,7279900
24/01/2025,61900,62500,61800,62200,200,0.003225806451612856,1576400
23/01/2025,61600,62300,61600,62000,400,0.006493506493506551,1781300
22/01/2025,62000,62000,61600,61600,-200,-0.003236245954692518,1760900
21/01/2025,62000,62100,61600,61800,-100,-0.001615508885298822,1403900
20/01/2025,62000,62200,61600,61900,-100,-0.001612903225806428,1633600
17/01/2025,62200,62200,62000,62000,100,0.001615508885298933,889400
16/01/2025,62300,62600,61700,61900,200,0.0032414910858995505,1684500
15/01/2025,62100,62300,61700,61700,100,0.0016233766233766378,1216400
14/01/2025,61400,61800,61300,61600,200,0.0032573289902280145,1147600
13/01/2025,61200,61900,61100,61400,100,0.0016313213703098572,1101700
10/01/2025,61700,61900,61300,61300,-500,-0.008090614886731351,1189800
09/01/2025,61800,61900,61300,61800,100,0.0016207455429497752,1500000
08/01/2025,62000,62100,61200,61700,0,0,2053300
07/01/2025,62600,63000,61600,61700,-800,-0.012800000000000034,2802100
06/01/2025,63000,63200,62500,62500,-500,-0.007936507936507908,2103500
03/01/2025,63200,63300,62900,63000,-100,-0.0015847860538826808,1776700
02/01/2025,63600,63800,63100,63100,-300,-0.004731861198738141,1336600
31/12/2024,63400,63800,63300,63400,100,0.0015797788309637184,1641900
30/12/2024,63600,63700,63300,63300,-500,-0.00783699059561127,1490800
27/12/2024,63900,64100,63700,63800,0,0,2443700
26/12/2024,64200,64200,63800,63800,-100,-0.0015649452269170805,1708800
25/12/2024,63900.00000219284,64396.11801463223,63900.00000219284,63900.00000219284,100,0.0015552099533437946,1382500
24/12/2024,63900.00000219284,64197.670809656476,63602.32919472922,63800.77639970497,-100,-0.0015527950310558758,4725000
23/12/2024,64197.670809656476,64495.34161712011,63800.77639970497,63900.00000219284,-600,-0.009230769230769265,1367800
20/12/2024,63503.105592241336,64495.34161712011,63503.105592241336,64495.34161712011,1100,0.017214397496087663,3799600
19/12/2024,63900.00000219284,63999.22360468072,63403.881989753456,63403.881989753456,-800,-0.012364760432766575,2646900
18/12/2024,64495.34161712011,64594.56521960798,64197.670809656476,64197.670809656476,100,0.001547987616099089,1614100
17/12/2024,64396.11801463223,64495.34161712011,63999.22360468072,64098.447207168596,-400,-0.006153846153846176,1204000
16/12/2024,63701.55279721709,64693.78882209586,63701.55279721709,64495.34161712011,800,0.012461059190031154,2387600
13/12/2024,63800.77639970497,63999.22360468072,63602.32919472922,63701.55279721709,-400,-0.006191950464396245,1396700
12/12/2024,63701.55279721709,64396.11801463223,63701.55279721709,64098.447207168596,400,0.006230529595015577,2249807
11/12/2024,63403.881989753456,64098.447207168596,63403.881989753456,63701.55279721709,300,0.0046948356807512415,2024600
10/12/2024,63602.32919472922,63900.00000219284,63403.881989753456,63403.881989753456,-200,-0.0031201248049922414,1711000
09/12/2024,63999.22360468072,63999.22360468072,63503.105592241336,63602.32919472922,0,0,1762700
06/12/2024,63999.22360468072,64296.89441214435,63602.32919472922,63602.32919472922,-200,-0.0031104199066873672,1677900
05/12/2024,63006.98757980195,64197.670809656476,62709.316772338316,63800.77639970497,1000,0.01579778830963674,2218400
04/12/2024,63304.65838726558,63403.881989753456,62808.540374826196,62808.540374826196,-600,-0.009389671361502372,2745800
03/12/2024,64098.447207168596,64098.447207168596,63403.881989753456,63403.881989753456,-600,-0.009302325581395321,2425200
02/12/2024,64098.447207168596,64296.89441214435,63701.55279721709,63999.22360468072,-100,-0.001547987616099089,1229100
29/11/2024,63999.22360468072,64296.89441214435,63800.77639970497,64098.447207168596,100,0.0015503875968991832,1105500
28/11/2024,64495.34161712011,64495.34161712011,63999.22360468072,63999.22360468072,-100,-0.001547987616099089,1273300
27/11/2024,64296.89441214435,64495.34161712011,63999.22360468072,64098.447207168596,-200,-0.0030864197530864335,1586400
26/11/2024,63999.22360468072,64495.34161712011,63900.00000219284,64296.89441214435,500,0.007776049766718529,1675600
25/11/2024,63800.77639970497,64098.447207168596,63701.55279721709,63800.77639970497,0,0,2446600
22/11/2024,63403.881989753456,64296.89441214435,63403.881989753456,63800.77639970497,400,0.006259780907668322,2585700
21/11/2024,63205.4347847777,63602.32919472922,62907.763977314076,63403.881989753456,300,0.004716981132075526,2253500
20/11/2024,62510.86956736256,63304.65838726558,62411.64596487469,63106.21118228983,600,0.00952380952380949,2818000
19/11/2024,62808.540374826196,63006.98757980195,62510.86956736256,62510.86956736256,-200,-0.0031645569620253333,2833600
18/11/2024,63205.4347847777,63701.55279721709,62709.316772338316,62709.316772338316,-500,-0.00784929356357933,3797000
15/11/2024,64396.11801463223,64396.11801463223,63205.4347847777,63205.4347847777,-1300,-0.020000000000000018,3688300
14/11/2024,64495.34161712011,64495.34161712011,64197.670809656476,64495.34161712011,0,0,1779900
13/11/2024,64594.56521960798,65090.68323204737,64197.670809656476,64495.34161712011,100,0.0015408320493066618,2820700
12/11/2024,64693.78882209586,65189.90683453525,64296.89441214435,64396.11801463223,-300,-0.004601226993865004,1729600
11/11/2024,65189.90683453525,65289.13043702312,64197.670809656476,64693.78882209586,-500,-0.007610350076103556,2737600
08/11/2024,65487.577641998876,65686.02484697463,65090.68323204737,65189.90683453525,-200,-0.003034901365705611,1852400
07/11/2024,65487.577641998876,65686.02484697463,65090.68323204737,65388.354039511,100,0.001519756838905817,1152300
06/11/2024,65487.577641998876,65487.577641998876,64793.012424583736,65289.13043702312,300,0.004580152671755711,2594600
05/11/2024,65189.90683453525,65487.577641998876,64991.45962955949,64991.45962955949,-100,-0.0015243902439023849,1060900
04/11/2024,65388.354039511,66082.91925692614,65090.68323204737,65090.68323204737,-200,-0.003039513677811523,2118800
01/11/2024,65586.80124448675,65785.24844946251,65090.68323204737,65289.13043702312,-300,-0.004538577912254205,2178005
31/10/2024,66082.91925692614,66082.91925692614,64793.012424583736,65586.80124448675,-200,-0.003016591251885359,5269100
30/10/2024,66479.81366687764,66777.48447434128,65785.24844946251,65785.24844946251,-700,-0.010447761194029903,3431700
29/10/2024,66777.48447434128,66777.48447434128,66281.3664619019,66479.81366687764,-200,-0.0029761904761904656,2030600
28/10/2024,67174.37888429279,67472.04969175642,66182.14285941402,66678.2608718534,-800,-0.0117647058823529,2923300
25/10/2024,68067.39130668368,68067.39130668368,67372.82608926854,67472.04969175642,-400,-0.005847953216374324,2170200
24/10/2024,66777.48447434128,68464.28571663519,66777.48447434128,67868.94410170792,1100,0.01634472511144125,4365000
23/10/2024,66777.48447434128,67075.15528180491,66678.2608718534,66777.48447434128,0,0,1835900
22/10/2024,66777.48447434128,67273.60248678067,66678.2608718534,66777.48447434128,0,0,2250400
21/10/2024,66876.70807682916,67372.82608926854,66678.2608718534,66777.48447434128,-100,-0.0014836795252225476,1860000
18/10/2024,67075.15528180491,67472.04969175642,66876.70807682916,66876.70807682916,-200,-0.00295857988165682,1737502
17/10/2024,67075.15528180491,67372.82608926854,66777.48447434128,67075.15528180491,100,0.001481481481481417,1655019
16/10/2024,66281.3664619019,67571.2732942443,66281.3664619019,66975.93167931703,700,0.010479041916167775,2003900
15/10/2024,66678.2608718534,66876.70807682916,66182.14285941402,66281.3664619019,-400,-0.005952380952380931,3473302
14/10/2024,67571.2732942443,67571.2732942443,66579.03726936552,66678.2608718534,-500,-0.00738552437223039,3220500
11/10/2024,67571.2732942443,67670.49689673218,66975.93167931703,67174.37888429279,0,0,2690038
10/10/2024,67769.72049922006,68265.83851165943,67174.37888429279,67174.37888429279,-100,-0.001474926253687281,3122515
09/10/2024,67769.72049922006,68067.39130668368,67273.60248678067,67273.60248678067,-400,-0.0058651026392961825,3827960
08/10/2024,66678.2608718534,67670.49689673218,66678.2608718534,67670.49689673218,1100,0.016393442622950838,3182649
07/10/2024,68166.61490917156,68761.95652409882,66579.03726936552,66579.03726936552,-1400,-0.020437956204379604,5986300
04/10/2024,69952.63975395335,69952.63975395335,67868.94410170792,67968.1677041958,-1800,-0.02560455192034139,6134000
03/10/2024,69654.96894648971,69952.63975395335,69357.29813902608,69754.19254897759,200,0.0028530670470756636,2948000
02/10/2024,69654.96894648971,69654.96894648971,69059.62733156246,69555.74534400184,0,0,2139900
01/10/2024,69654.96894648971,70151.0869589291,69555.74534400184,69555.74534400184,0,0,2040200
30/09/2024,70448.75776639274,70448.75776639274,69555.74534400184,69555.74534400184,-900,-0.012676056338028152,2043516
27/09/2024,70250.31056141698,70647.20497136848,70151.0869589291,70448.75776639274,300,0.004243281471004279,3168700
26/09/2024,69059.62733156246,70547.9813688806,69059.62733156246,70151.0869589291,1100,0.015804597701149392,4484109
25/09/2024,69754.19254897759,69853.41615146547,69059.62733156246,69059.62733156246,-700,-0.009957325746799417,4847436
24/09/2024,70448.75776639274,70448.75776639274,69555.74534400184,69754.19254897759,-200,-0.0028368794326241176,2199514
23/09/2024,70094.80580646348,70190.6947336953,69615.36117030436,69903.02795199983,200,0.0027510316368637433,2997201
20/09/2024,70478.36151539077,70957.8061515499,69711.25009753619,69711.25009753619,-600,-0.008185538881309684,6555403
19/09/2024,70286.58366092714,70478.36151539077,69998.91687923166,70286.58366092714,0,0,1572742
18/09/2024,70574.25044262261,70861.91722431808,69998.91687923166,70286.58366092714,-100,-0.0013623978201634523,2845344
17/09/2024,69040.02760691341,70382.47258815895,68752.36082521794,70382.47258815895,1500,0.020862308762169768,2526732
16/09/2024,69998.91687923166,69998.91687923166,68944.1386796816,68944.1386796816,-1000,-0.013717421124828544,4034700
13/09/2024,71724.9175694045,71724.9175694045,69903.02795199983,69903.02795199983,-1800,-0.02409638554216864,5347113
12/09/2024,71916.69542386814,72108.47327833179,71341.36186047719,71629.02864217266,100,0.0013404825737264314,2052124
11/09/2024,71724.9175694045,72012.58435109997,70861.91722431808,71533.13971494084,-300,-0.004005340453938633,3165231
10/09/2024,71724.9175694045,72396.14006002726,71245.47293324537,71820.80649663632,100,0.0013368983957218195,3332434
